Run,BioSample,SampleName,LibraryName,LibraryStrategy,LibrarySource,LibraryLayout,Platform,Model,spots,bases,avgLength,size_MB,download_path
SRR19607142,SAMN28950135,HTP_7_1_2021_amplicon,HTP_7_1_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11600051,3503215402,302,1093,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607142/SRR19607142.lite.1
SRR19607144,SAMN28950134,HTP_7_1_2020_amplicon,HTP_7_1_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,9282305,2803256110,302,885,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607144/SRR19607144.lite.1
SRR19607146,SAMN28950133,HTP_6_9_2020_amplicon,HTP_6_9_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12647797,3819634694,302,1234,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607146/SRR19607146.lite.1
SRR19606966,SAMN28950040,HTP_1_24_21_enriched,HTP_1_24_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,1307224,264059248,202,79,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606966/SRR19606966.lite.1
SRR19606956,SAMN28950045,HTP_1_5_21_enriched,HTP_1_5_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,4539045,916887090,202,267,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606956/SRR19606956.lite.1
SRR19606958,SAMN28950044,HTP_1_31_21_enriched,HTP_1_31_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,3372327,681210054,202,200,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606958/SRR19606958.lite.1
SRR19606960,SAMN28950043,HTP_1_28_21_enriched,HTP_1_28_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,5136682,1037609764,202,307,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606960/SRR19606960.lite.1
SRR19606962,SAMN28950042,HTP_1_26_21_enriched,HTP_1_26_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,1410185,284857370,202,83,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19606/SRR19606962/SRR19606962.lite.1
SRR19606964,SAMN28950041,HTP_1_26_2021_amplicon,HTP_1_26_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12482957,3769853014,302,1205,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606964/SRR19606964.lite.1
SRR19606950,SAMN28950047,HTP_10_13_2020_amplicon,HTP_10_13_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,8860212,2675784024,302,872,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19606/SRR19606950/SRR19606950.lite.1
